AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTURA LTE,COBERTURA 5G,COBERTURA 4G
2023,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,0,27250034,TORDÓ,0,0,0,0,0,1
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,05,ANTIOQUIA,05495,NECHÍ,0,05495003,LA CONCHA,1,1,1,0,0,1
2022,3,COLOMBIA MOVIL  S.A ESP,70,SUCRE,70508,OVEJAS,0,70508006,DON GABRIEL,0,0,0,0,0,1
2021,4,AVANTEL S.A.S,73,TOLIMA,73043,ANZOÁTEGUI,1,73043000,ANZOÁTEGUI,1,1,1,0,0,0
2021,2,COMUNICACION CELULAR S A COMCEL S A,50,META,50150,CASTILLA LA NUEVA,0,50150001,SAN LORENZO,1,1,1,0,0,1
2022,3,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,05264,ENTRERRIOS,1,05264000,ENTRERRÍOS,1,1,1,0,0,1
2022,4,COLOMBIA MOVIL  S.A ESP,20,CESAR,20787,TAMALAMEQUE,0,20787015,EL DOCE,0,0,0,0,0,1
2022,1,COMUNICACION CELULAR S A COMCEL S A,81,ARAUCA,81065,ARAUQUITA,0,81065007,REINERA (GAVIOTA),1,1,1,0,0,0
2021,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,44,LA GUAJIRA,44279,FONSECA,1,44279001,FONSECA,0,0,1,1,0,0
2023,3,PARTNERS TELECOM COLOMBIA SAS,15,BOYACÁ,15172,CHINAVITA,1,15172000,CHINAVITA,0,1,1,0,0,0
2021,1,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70001,SINCELEJO,0,70001020,POLICARPA,1,1,1,0,0,0
2021,1,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20001,VALLEDUPAR,0,0,VERACRUZ,0,0,0,0,0,0
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25873,VILLAPINZÓN,1,25873000,VILLAPINZÓN,1,1,1,0,0,1
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,05,ANTIOQUIA,05086,BELMIRA,1,05086000,BELMIRA,0,0,0,0,0,1
2021,3,PARTNERS TELECOM COLOMBIA SAS,18,CAQUETA,18205,CURILLO,1,18205000,CURILLO,0,1,1,0,0,1
2021,4,COLOMBIA MOVIL  S.A ESP,52,NARIÑO,52490,OLAYA HERRERA,1,52490000,BOCAS DE SATINGA,1,1,1,0,0,1
